Site,Point and Quad,4/2/2015,4/9/2015,4/16/2015,4/23/2015,4/30/2015,5/7/2015,5/14/2015,5/21/2015,5/28/2015,4/7/2016,4/14/2016,4/21/2016,4/28/2016,5/5/2016,5/12/2016,5/19/2016,5/26/2016,4/6/2017,4/13/2017,4/20/2017,4/27/2017,5/4/2017,5/11/2017,5/18/2017,5/25/2017,4/5/2018,4/12/2018,4/19/2018,4/26/2018,5/3/2018,5/10/2018,5/17/2018,5/24/2018
Crooked Lake West Stuart,3S,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,NA,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0
Crooked Lake West Stuart,3W,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,NA,0,1,0,0,1,0,NA,0,1,1,0,1,0,0,0
Crooked Lake West Stuart,4N,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,NA,0,1,0,0,0,0,NA,0,0,0,0,NA,0,0,0
Crooked Lake West Stuart,4E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,1,1,0,0,0,NA,0,0,0,0,0,0,0,0
Crooked Lake West Stuart,4S,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,NA,1,1,1,2,0,1,NA,0,0,0,0,0,0,0,0
Crooked Lake West Stuart,4W,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,1,1,1,1,NA,0,0,1,0,0,0,0,0
Crooked Lake West Stuart,5N,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
Crooked Lake West Stuart,5E,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
Crooked Lake West Stuart,5S,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
Crooked Lake West Stuart,5W,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
Crooked Lake West Stuart,6N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
Crooked Lake West Stuart,6E,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0
Crooked Lake West Stuart,6S,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
Crooked Lake West Stuart,6W,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
Crooked Lake West Stuart,7N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
Crooked Lake West Stuart,7E,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
Crooked Lake West Stuart,7S,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
Crooked Lake West Stuart,7W,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
Crooked Lake West Stuart,8N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
Crooked Lake West Stuart,8E,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
Crooked Lake West Stuart,8S,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0
Crooked Lake West Stuart,8W,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
